Time,User,Executable,CommandLine,PID,Parent,PID,Privileges
20170721002523.107130+480,GYL-PC\GYL,C:\Users\GYL\AppData\Roaming\Baidu\Browserxlite\Bdbr\qozvsxxqumnc.exe,C:\Users\GYL\AppData\Roaming\Baidu\Browserxlite\Bdbr\qozvsxxqumnc.exe --function: 1 1,9076,5892,N/A
20170721002554.792757+480,GYL-PC\GYL,D:\SogouInput\8.6.0.1389\SGTool.exe,"D:\SogouInput\8.6.0.1389\SGTool.exe" -daemon,6912,5892,N/A
20170721002600.789124+480,GYL-PC\GYL,None,None,11468,1264,N/A
20170721002603.773889+480,GYL-PC\GYL,None,"F:\vmware\vmplayer.exe" ,11240,12572,N/A
20170721002614.412740+480,GYL-PC\GYL,C:\WINDOWS\system32\backgroundTaskHost.exe,"C:\WINDOWS\system32\backgroundTaskHost.exe" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca,5776,980,N/A
20170721002618.066590+480,GYL-PC\GYL,C:\WINDOWS\system32\DllHost.exe,C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},8700,980,N/A
20170721002622.972266+480,None\None,None,None,1732,3372,N/A
20170721002658.331879+480,GYL-PC\GYL,C:\WINDOWS\system32\DllHost.exe,C:\WINDOWS\system32\DllHost.exe /Processid:{7966B4D8-4FDC-4126-A10B-39A3209AD251},2700,980,N/A
20170721002658.367075+480,GYL-PC\GYL,C:\WINDOWS\system32\DllHost.exe,C:\WINDOWS\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F},5856,980,N/A
20170721002659.446743+480,GYL-PC\GYL,C:\Program Files (x86)\Tencent\WeChat\WeChat.exe,"C:\Program Files (x86)\Tencent\WeChat\WeChat.exe" ,1620,12572,N/A
20170721002709.615529+480,GYL-PC\GYL,C:\Program Files (x86)\Tencent\WeChat\WeChatWeb.exe,WeChatWeb.exe --type=gpu-process --channel="1620.0.427546692\1005384146" --no-sandbox --lang=zh-CN --locales-dir-path="C:\Users\GYL\AppData\Roaming\Tencent\WeChat\All Users\CefResources\locales" --log-file="C:\Users\GYL\AppData\Roaming\Tencent\WeChat\log\cef.log" --resources-dir-path="C:\Users\GYL\AppData\Roaming\Tencent\WeChat\All Users\CefResources" --user-agent="Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 MicroMessenger/6.5.2.501 NetType/WIFI WindowsWechat" --supports-dual-gpus=false --gpu-driver-bug-workarounds=2,21,44 --gpu-vendor-id=0x8086 --gpu-device-id=0x0166 --gpu-driver-vendor="Intel Corporation" --gpu-driver-version=10.18.10.4425 --lang=zh-CN --locales-dir-path="C:\Users\GYL\AppData\Roaming\Tencent\WeChat\All Users\CefResources\locales" --log-file="C:\Users\GYL\AppData\Roaming\Tencent\WeChat\log\cef.log" --resources-dir-path="C:\Users\GYL\AppData\Roaming\Tencent\WeChat\All Users\CefResources" --user-agent="Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 MicroMessenger/6.5.2.501 NetType/WIFI WindowsWechat" /prefetch:822062411,8720,1620,N/A
20170721002840.759918+480,None\None,None,None,10992,3372,N/A
20170721003055.343110+480,GYL-PC\GYL,None,"D:\SogouInput\8.4.0.1062\SGTool.exe" -daemon,6468,6712,N/A
20170721003055.523603+480,None\None,None,None,5956,3372,N/A
20170721003100.878646+480,GYL-PC\GYL,C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\bdupdate.exe,"C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\bdupdate.exe" -p 3 --launchagain 0,1168,12572,N/A
20170721003350.802794+480,None\None,None,None,10028,3372,N/A
Time,User,Executable,CommandLine,PID,Parent,PID,Privileges
20170721003610.180823+480,GYL-PC\GYL,C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\baidubrowser.exe,"C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\baidubrowser.exe" http://ttaa.210997.com,7432,12572,SeChangeNotifyPrivilege|
20170721003610.717218+480,GYL-PC\GYL,C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe,"C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe" --browser-delegate-path="C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962" --chrome-profile-path="C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\user_data\default\chrome_profile" --csp-recovering-state="false" --magic-number="31920196951048" --xchannel="\\.\pipe\ipc.560" --xtype="csp",10960,7432,SeChangeNotifyPrivilege|
20170721003610.830205+480,GYL-PC\GYL,C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\baidubrowser.exe,"C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\baidubrowser.exe" -p 4 -r 7432 -c 1 -m 31920196951048 --magic-number 31920196951048 /prefetch:4,12932,7432,SeChangeNotifyPrivilege|
